	Description	KEGG Ontology
6666666.754255.peg.2682	Predicted transcriptional regulators	
6666666.754255.peg.2683	Mobile element protein	
6666666.754255.peg.2684	Mobile element protein	
6666666.754255.peg.2685	Proline iminopeptidase (EC 3.4.11.5)	KEGG_ENZYME:3.4.11.5
6666666.754255.peg.2686	Uncharacterized amino acid permease%2C GabP family	
6666666.754255.peg.2687	Uncharacterized MFS-type transporter YxiO	
6666666.754255.peg.2688	Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)	KEGG_ENZYME:3.1.4.1,KEGG_ENZYME:3.6.1.9
6666666.754255.peg.2689	lipase/esterase (putative)	
6666666.754255.peg.2690	Trehalose operon transcriptional repressor	
6666666.754255.peg.2691	Cell surface protein	
6666666.754255.peg.2692	putative transposase	
6666666.754255.peg.2693	Mobile element protein	
6666666.754255.peg.2694	FIG00743832: hypothetical protein	
6666666.754255.peg.2695	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.2696	Mobile element protein	
6666666.754255.peg.2697	hypothetical protein	
6666666.754255.peg.2698	beta-glucosides PTS%2C EIIABC( EC:2.7.1.69 )	KEGG_ENZYME:2.7.1.69
6666666.754255.peg.2699	protein containing diguanylate cyclase/phosphodiesterase domain 1 (GGDEF)	
6666666.754255.peg.2700	protein containing diguanylate cyclase/phosphodiesterase domain 2 (EAL)	
6666666.754255.peg.2701	Ribonucleotide reductase of class III (anaerobic)%2C activating protein (EC 1.97.1.4)	KEGG_ENZYME:1.97.1.4
6666666.754255.peg.2702	Ribonucleotide reductase of class III (anaerobic)%2C large subunit (EC 1.17.4.2)	KEGG_ENZYME:1.17.4.2
6666666.754255.peg.2703	lipoprotein precursor	
6666666.754255.peg.2704	Peptide deformylase (EC 3.5.1.88)	KEGG_ENZYME:3.5.1.88
6666666.754255.peg.2705	FAD:protein FMN transferase (EC 2.7.1.180)	KEGG_ENZYME:2.7.1.180
6666666.754255.peg.2706	tRNA-dihydrouridine synthase 2	
6666666.754255.peg.2707	hypothetical protein	
6666666.754255.peg.2708	cell surface protein precursor	
6666666.754255.peg.2709	hypothetical protein	
6666666.754255.peg.2710	Hydrogen peroxide-inducible genes activator	
6666666.754255.peg.2711	FIG00743815: hypothetical protein	
6666666.754255.peg.2712	putative sodium:sulfate symporter	
6666666.754255.peg.2713	UbiD family decarboxylase%2C Lactobacillus brevis type	
6666666.754255.peg.2714	FIG00752180: hypothetical protein	
6666666.754255.peg.2715	FIG028593: membrane protein	
6666666.754255.peg.2716	FIG00754947: hypothetical protein	
6666666.754255.peg.2717	FIG00747736: hypothetical protein	
6666666.754255.peg.2718	Mobile element protein	
6666666.754255.peg.2719	Lysophospholipase L2 (EC 3.1.1.5)	KEGG_ENZYME:3.1.1.5
6666666.754255.peg.2720	integral membrane protein (putative)	
6666666.754255.peg.2721	FIG00751792: hypothetical protein	
6666666.754255.peg.2722	Esterase/lipase	
6666666.754255.peg.2723	putative secreted protein	
6666666.754255.peg.2724	Permease of the drug/metabolite transporter (DMT) superfamily	
6666666.754255.peg.2725	Acyltransferase	
6666666.754255.peg.2726	metal-dependent hydrolase (putative)	
6666666.754255.peg.2727	Transcriptional regulator%2C TetR family	
6666666.754255.peg.2728	transcription regulator (putative)	
6666666.754255.peg.2729	N-acetylmannosamine kinase (EC 2.7.1.60)	KEGG_ENZYME:2.7.1.60
6666666.754255.peg.2730	Efflux ABC transporter%2C permease/ATP-binding protein	
6666666.754255.peg.2731	Transcriptional regulator%2C MarR family	
6666666.754255.peg.2732	Nitroreductase	
6666666.754255.peg.2733	PTS system%2C N-acetylglucosamine-specific IIC component / PTS system%2C N-acetylglucosamine-specific IIB component (EC 2.7.1.193)	KEGG_ENZYME:2.7.1.193
6666666.754255.peg.2734	ABC transporter%2C ATP-binding protein (cluster 15%2C trp?)	
6666666.754255.peg.2735	ABC transporter%2C permease protein (cluster 15%2C trp?)	
6666666.754255.peg.2736	ABC transporter%2C substrate-binding protein (cluster 15%2C trp?)	
6666666.754255.peg.2737	extracellular protein	
6666666.754255.peg.2738	cell surface protein precursor (putative)	
6666666.754255.peg.2739	FIG00749210: hypothetical protein	
6666666.754255.peg.2740	extracellular protein	
6666666.754255.peg.2741	CBS domain protein	
6666666.754255.peg.2742	Branched-chain amino acid ABC transporter%2C ATP-binding protein LivF (TC 3.A.1.4.1)	
6666666.754255.peg.2743	Branched-chain amino acid ABC transporter%2C ATP-binding protein LivG (TC 3.A.1.4.1)	
6666666.754255.peg.2744	Branched-chain amino acid ABC transporter%2C permease protein LivM (TC 3.A.1.4.1)	
6666666.754255.peg.2745	Branched-chain amino acid ABC transporter%2C permease protein LivH (TC 3.A.1.4.1)	
6666666.754255.peg.2746	Branched-chain amino acid ABC transporter%2C substrate-binding protein LivJ (TC 3.A.1.4.1)	
6666666.754255.peg.2747	hypothetical protein	
6666666.754255.peg.2748	FIG00743269: hypothetical protein	
6666666.754255.peg.2749	hypothetical protein	
6666666.754255.peg.2750	Teichoic acid glycosylation protein	
6666666.754255.peg.2751	hypothetical protein	
6666666.754255.peg.2752	Transcriptional regulator%2C Xre family	
6666666.754255.peg.2753	Manganese transport protein MntH	
6666666.754255.peg.2754	Universal stress protein family	
6666666.754255.peg.2755	FIG00752992: hypothetical protein	
6666666.754255.peg.2756	Mobile element protein	
6666666.754255.peg.2757	Mobile element protein	
6666666.754255.peg.2758	FIG00743909: hypothetical protein	
6666666.754255.peg.2759	Transcriptional regulator%2C ArsR family	
6666666.754255.peg.2760	Transport protein	
6666666.754255.peg.2761	Macrolide export ATP-binding/permease protein	
6666666.754255.peg.2762	hypothetical protein	
6666666.754255.peg.2763	integral membrane protein	
6666666.754255.peg.2764	Diadenosine tetraphosphatase and related serine/threonine protein phosphatases	
6666666.754255.peg.2765	FIG00747568: hypothetical protein	
6666666.754255.peg.2766	Predicted transcriptional regulators	
6666666.754255.peg.2767	phosphoenolpyruvate-dependent sugar phosphotransferase system EIIABC%2C glucose specific	
6666666.754255.peg.2768	PTS system%2C cellobiose-specific IIB component (EC 2.7.1.205)	KEGG_ENZYME:2.7.1.205
6666666.754255.peg.2769	PTS system%2C cellobiose-specific IIC component	
6666666.754255.peg.2770	6-phospho-beta-glucosidase (EC 3.2.1.86)	KEGG_ENZYME:3.2.1.86
6666666.754255.peg.2771	FIG00746097: hypothetical protein	
6666666.754255.peg.2772	Transcriptional regulator%2C MerR family	
6666666.754255.peg.2773	FIG00752425: hypothetical protein	
6666666.754255.peg.2774	extracellular protein	
6666666.754255.peg.2775	putative membrane protein	
6666666.754255.peg.2776	hypothetical protein	
6666666.754255.peg.2777	Zinc ABC transporter%2C substrate-binding protein ZnuA	
6666666.754255.peg.2778	FIG00742345: hypothetical protein	
6666666.754255.peg.2779	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	KEGG_ENZYME:3.2.2.20
6666666.754255.peg.2780	GGDEF domain protein	
6666666.754255.peg.2781	FIG00750014: hypothetical protein	
6666666.754255.peg.2782	FIG00742519: hypothetical protein	
6666666.754255.peg.2783	Transcriptional regulator	
6666666.754255.peg.2784	FIG00752979: hypothetical protein	
6666666.754255.peg.2785	Oxidoreductase%2C short-chain dehydrogenase/reductase family	
6666666.754255.peg.2786	hypothetical protein	
6666666.754255.peg.2787	FIG00752135: hypothetical protein	
6666666.754255.peg.2788	Phospholipid-binding protein	
6666666.754255.peg.2789	Transcriptional regulator	
6666666.754255.peg.2790	FIG00750928: hypothetical protein	
6666666.754255.peg.2791	Oxidoreductase%2C short-chain dehydrogenase/reductase family	
6666666.754255.peg.2792	oxidoreductase (putative)	
6666666.754255.peg.2793	ABC transporter%2C permease protein	
6666666.754255.peg.2794	Heterodimeric efflux ABC transporter%2C multidrug resistance > LmrD subunit of LmrCD	
6666666.754255.peg.2795	Heterodimeric efflux ABC transporter%2C multidrug resistance > LmrC subunit of LmrCD	
6666666.754255.peg.2796	extracellular zinc metalloproteinase	
6666666.754255.peg.2797	N-acyl-L-amino acid amidohydrolase (EC 3.5.1.14)	KEGG_ENZYME:3.5.1.14
6666666.754255.peg.2798	Oxidoreductase%2C short-chain dehydrogenase/reductase family	
6666666.754255.peg.2799	FIG00745429: hypothetical protein	
6666666.754255.peg.2800	FIG00752978: hypothetical protein	
6666666.754255.peg.2801	FIG00752978: hypothetical protein	
6666666.754255.peg.2802	Transcriptional regulator%2C Xre family	
6666666.754255.peg.2803	Inner membrane transporter YjeM	
6666666.754255.peg.2804	Aggregation promoting factor	
6666666.754255.peg.2805	1%2C3-propanediol dehydrogenase (EC 1.1.1.202)	KEGG_ENZYME:1.1.1.202
6666666.754255.peg.2806	Alcohol dehydrogenase (EC 1.1.1.1)	KEGG_ENZYME:1.1.1.1
6666666.754255.peg.2807	Lead%2C cadmium%2C zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)%3B Copper-translocating P-type ATPase (EC 3.6.3.4)	KEGG_ENZYME:3.6.3.3,KEGG_ENZYME:3.6.3.5,KEGG_ENZYME:3.6.3.4
6666666.754255.peg.2808	Copper-exporting ATPase (EC 3.6.3.4)	KEGG_ENZYME:3.6.3.4
6666666.754255.peg.2809	Copper-transporting ATPase	
6666666.754255.peg.2810	FIG01283769: hypothetical protein	
6666666.754255.peg.2811	FIG01283769: hypothetical protein	
6666666.754255.peg.2812	Predicted transcriptional regulators	
6666666.754255.peg.2813	hypothetical protein	
6666666.754255.peg.2814	FIG00752248: hypothetical protein	
6666666.754255.peg.2815	histidine protein kinase%3B sensor protein( EC:2.7.3.- )	KEGG_ENZYME:2.7.3.-
6666666.754255.peg.2816	FIG00747192: hypothetical protein	
6666666.754255.peg.2817	FIG00747192: hypothetical protein	
6666666.754255.peg.2818	FIG00747192: hypothetical protein	
6666666.754255.peg.2819	cell surface protein precursor	
6666666.754255.peg.2820	cell surface protein precursor	
6666666.754255.peg.2821	extracellular protein%2C N-terminal fragment	
6666666.754255.peg.2822	hypothetical protein	
6666666.754255.peg.2823	Putative oxidoreductase	
6666666.754255.peg.2824	FIG00747397: hypothetical protein	
6666666.754255.peg.2825	FIG00742481: hypothetical protein	
6666666.754255.peg.2826	cell surface protein precursor	
6666666.754255.peg.2827	extracellular protein	
6666666.754255.peg.2828	Mobile element protein	
6666666.754255.peg.2829	cell surface protein precursor	
6666666.754255.peg.2830	TldD protein%2C part of TldE/TldD proteolytic complex	
6666666.754255.peg.2831	hypothetical protein	
6666666.754255.peg.2832	hypothetical protein	
6666666.754255.peg.2833	hydrolase%2C haloacid dehalogenase-like family	
6666666.754255.peg.2834	Mobile element protein	
6666666.754255.peg.2835	Mobile element protein	
6666666.754255.peg.2836	Transcriptional regulator%2C HxlR family	
6666666.754255.peg.2837	Uncharacterized MFS-type transporter YtbD	
6666666.754255.peg.2838	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	KEGG_ENZYME:3.4.16.4
6666666.754255.peg.2839	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	KEGG_ENZYME:6.3.5.4
6666666.754255.peg.2840	response regulator	
6666666.754255.peg.2841	Histidine kinase of the competence regulon ComD	
6666666.754255.peg.2842	Transcription regulator of multidrug efflux pump operon%2C TetR (AcrR) family	
6666666.754255.peg.2843	FIG00744500: hypothetical protein	
6666666.754255.peg.2844	Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24)%3B Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.79)	KEGG_ENZYME:1.2.1.24,KEGG_ENZYME:1.2.1.79
6666666.754255.peg.2845	FIG00753989: hypothetical protein	
6666666.754255.peg.2846	hypothetical protein	
6666666.754255.peg.2847	Transcriptional regulator%2C HxlR family	
6666666.754255.peg.2848	Oxidoreductase%2C short-chain dehydrogenase/reductase family	
6666666.754255.peg.2849	Transcriptional regulator%2C AcrR family	
6666666.754255.peg.2850	NAD-dependent%2C hopanoid-associated epimerase/dehydratase family acting on nucleotide-sugars	
6666666.754255.peg.2851	integral membrane protein	
6666666.754255.peg.2852	Putative oxidoreductase SCO7655	
6666666.754255.peg.2853	Uncharacterized MFS-type transporter	
6666666.754255.peg.2854	Transcriptional regulator%2C AcrR family	
6666666.754255.peg.2855	Ferrichrome-binding periplasmic protein precursor (TC 3.A.1.14.3)	
6666666.754255.peg.2856	Ferrichrome transport ATP-binding protein FhuC (TC 3.A.1.14.3)	
6666666.754255.peg.2857	ABC-type Fe3+-siderophore transport system%2C permease component	
6666666.754255.peg.2858	Ferrichrome transport system permease protein FhuG	
6666666.754255.peg.2859	Transcriptional regulator%2C AcrR family	
6666666.754255.peg.2860	oxidoreductase (putative)( EC:1.- )	
6666666.754255.peg.2861	oxidoreductase (putative)( EC:1.- )	
6666666.754255.peg.2862	Short-chain dehydrogenase/reductase SDR	
6666666.754255.peg.2863	Acetyltransferase (isoleucine patch superfamily)	
6666666.754255.peg.2864	short-chain dehydrogenase/oxidoreductase	
6666666.754255.peg.2865	Predicted transcriptional regulators	
6666666.754255.peg.2866	FIG01290618: hypothetical protein	
6666666.754255.peg.2867	FIG01290618: hypothetical protein	
6666666.754255.peg.2868	FIG00744132: hypothetical protein	
6666666.754255.peg.2869	conserved hypothetical protein protein	
6666666.754255.peg.2870	FIG00751071: hypothetical protein	
6666666.754255.peg.2871	FIG00751071: hypothetical protein	
6666666.754255.peg.2872	hypothetical protein	
6666666.754255.peg.2873	transctiptional regulator%2C TetR family	
6666666.754255.peg.2874	Translation elongation factor LepA	
6666666.754255.peg.2875	hypothetical protein	
6666666.754255.peg.2876	Na(+)/H(+) antiporter	
6666666.754255.peg.2877	Mobile element protein	
6666666.754255.peg.2878	NADH pyrophosphatase (EC 3.6.1.22)%2C decaps 5'-NAD modified RNA	KEGG_ENZYME:3.6.1.22
6666666.754255.peg.2879	Predicted transcriptional regulators	
6666666.754255.peg.2880	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	KEGG_ENZYME:1.3.99.1
6666666.754255.peg.2881	hypothetical protein	
6666666.754255.peg.2882	hypothetical protein	
6666666.754255.peg.2883	Transposase%2C IS4 family	
6666666.754255.peg.2884	Transposase%2C IS4 family	
6666666.754255.peg.2885	DNA protection during starvation protein	
6666666.754255.peg.2886	Transcriptional regulator	
6666666.754255.peg.2887	6-phospho-beta-glucosidase (EC 3.2.1.86)	KEGG_ENZYME:3.2.1.86
6666666.754255.peg.2888	PTS system%2C cellobiose-specific IIC component	
6666666.754255.peg.2889	FIG00742439: hypothetical protein	
6666666.754255.peg.2890	FIG00747911: hypothetical protein	
6666666.754255.peg.2891	4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	KEGG_ENZYME:4.1.1.44
6666666.754255.peg.2892	Transcriptional regulator%2C MerR family	
6666666.754255.peg.2893	hypothetical protein	
6666666.754255.peg.2894	FIG00747097: hypothetical protein	
6666666.754255.peg.2895	ThiJ/PfpI family protein	
6666666.754255.peg.2896	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.2897	Mobile element protein	
6666666.754255.peg.2898	Mobile element protein	
6666666.754255.peg.2899	Mobile element protein	
6666666.754255.peg.2900	Mobile element protein	
6666666.754255.peg.2901	FIG01236351: hypothetical protein	
6666666.754255.peg.2902	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	KEGG_ENZYME:5.1.3.9
6666666.754255.peg.2903	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.2904	Mobile element protein	
6666666.754255.peg.2905	Mobile element protein	
6666666.754255.peg.2906	Mobile element protein	
6666666.754255.peg.2907	transcription regulator	
6666666.754255.peg.2908	unknown	
6666666.754255.peg.2909	Phosphoglycerate mutase (EC 5.4.2.11)	KEGG_ENZYME:5.4.2.11
6666666.754255.peg.2910	UPF0118 membrane protein YdbI	
6666666.754255.peg.2911	Mlc%2C transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon	
6666666.754255.peg.2912	Mobile element protein	
6666666.754255.peg.2913	Mobile element protein	
6666666.754255.peg.2914	Putative ROK-family transcriptional regulator	
6666666.754255.peg.2915	FIG00745737: hypothetical protein	
6666666.754255.peg.2916	Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)	KEGG_ENZYME:2.1.1.79
6666666.754255.peg.2917	putative membrane protein	
6666666.754255.peg.2918	serine/threonine protein kinase( EC:2.7.1.- )	KEGG_ENZYME:2.7.1.-
6666666.754255.peg.2919	putative membrane protein	
6666666.754255.peg.2920	hypothetical protein	
6666666.754255.peg.2921	FIG00752687: hypothetical protein	
6666666.754255.peg.2922	integral membrane protein	
6666666.754255.peg.2923	FIG00749798: hypothetical protein	
6666666.754255.peg.2924	hypothetical protein	
6666666.754255.peg.2925	Predicted permease	
6666666.754255.peg.2926	FIG00742167: hypothetical protein	
6666666.754255.peg.2927	branched-chain amino acid transport protein	
6666666.754255.peg.2928	hypothetical protein	
6666666.754255.peg.2929	Acetyltransferase%2C GNAT family	
6666666.754255.peg.2930	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	KEGG_ENZYME:3.4.16.4
6666666.754255.peg.2931	Two-component system sensor histidine kinase	
6666666.754255.peg.2932	Two-component transcriptional response regulator%2C OmpR family	
6666666.754255.peg.2933	putative membrane protein	
6666666.754255.peg.2934	Foldase protein PrsA precursor (EC 5.2.1.8)	KEGG_ENZYME:5.2.1.8
6666666.754255.peg.2935	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain	KEGG_ENZYME:1.1.1.205
6666666.754255.peg.2936	Integral membrane protein	
6666666.754255.peg.2937	GTP-binding and nucleic acid-binding protein YchF	
6666666.754255.peg.2938	Uncharacterized protein CAC3725	
6666666.754255.peg.2939	Chromosome (plasmid) partitioning protein ParB	
6666666.754255.peg.2940	Chromosome (plasmid) partitioning protein ParA	
6666666.754255.peg.2941	Chromosome (plasmid) partitioning protein ParB-2	
6666666.754255.peg.2942	16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)	KEGG_ENZYME:2.1.1.170
6666666.754255.peg.2943	Pyrimidine nucleoside transporter	
6666666.754255.peg.2944	cell surface hydrolase (putative)	
6666666.754255.peg.2945	Transcriptional regulator%2C LysR family	
6666666.754255.peg.2946	Aspartate aminotransferase (AspB-4) (EC 2.6.1.1)	KEGG_ENZYME:2.6.1.1
6666666.754255.peg.2947	ABC transporter%2C substrate-binding protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.2948	ABC transporter%2C permease protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.2949	ABC transporter%2C ATP-binding protein (cluster 3%2C basic aa/glutamine/opines)	
6666666.754255.peg.2950	ABC-type amino acid transport/signal transduction system%2C periplasmic component/domain	
6666666.754255.peg.2951	FIG00743918: hypothetical protein	
6666666.754255.peg.2952	Transcriptional regulator%2C PadR family	
6666666.754255.peg.2953	integral membrane protein (putative)	
6666666.754255.peg.2954	FIG00743812: hypothetical protein	
6666666.754255.peg.2955	PTS system%2C sucrose-specific IIB component (EC 2.7.1.211) / PTS system%2C sucrose-specific IIC component / PTS system%2C sucrose-specific IIA component (EC 2.7.1.211)	KEGG_ENZYME:2.7.1.211,KEGG_ENZYME:2.7.1.211
6666666.754255.peg.2956	Family 13 glycosyl hydrolase%2C row 724	
6666666.754255.peg.2957	Transcriptional regulator	
6666666.754255.peg.2958	FIG00746484: hypothetical protein	
6666666.754255.peg.2959	Probable iron export permease protein FetB	
6666666.754255.peg.2960	Probable iron export ATP-binding protein FetA	
6666666.754255.peg.2961	RNA methyltransferase%2C TrmA family	
6666666.754255.peg.2962	hypothetical protein	
6666666.754255.peg.2963	Oxidoreductase	
6666666.754255.peg.2964	Hydrolase%2C HAD superfamily	
6666666.754255.peg.2965	Fructokinase (EC 2.7.1.4)	KEGG_ENZYME:2.7.1.4
6666666.754255.peg.2966	glycosyl hydrolase%2C family 38	
6666666.754255.peg.2967	PTS system%2C IIC component	
6666666.754255.peg.2968	PTS system%2C IIB component	
6666666.754255.peg.2969	PTS IIA-like nitrogen-regulatory protein PtsN	
6666666.754255.peg.2970	Transcription antiterminator%2C BglG family	
6666666.754255.peg.2971	Predicted transcriptional regulator	
6666666.754255.peg.2972	FIG00746964: hypothetical protein	
6666666.754255.peg.2973	PTS system%2C trehalose-specific IIB component (EC 2.7.1.201) / PTS system%2C trehalose-specific IIC component	KEGG_ENZYME:2.7.1.201
6666666.754255.peg.2974	Endonuclease III (EC 4.2.99.18)	KEGG_ENZYME:4.2.99.18
6666666.754255.peg.2975	FIG00744682: hypothetical protein	
6666666.754255.peg.2976	chromate reductase	
6666666.754255.peg.2977	hypothetical protein	
6666666.754255.peg.2978	Siderophore/Surfactin synthetase related protein	
6666666.754255.peg.2979	FIG00743237: hypothetical protein	
6666666.754255.peg.2980	Peroxide stress regulator PerR%2C FUR family	
6666666.754255.peg.2981	bacteriocin immunity protein	
6666666.754255.peg.2982	FIG00745707: hypothetical protein	
6666666.754255.peg.2983	3'%2C5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	KEGG_ENZYME:3.1.4.17
6666666.754255.peg.2984	acetyltransferase%2C GNAT family	
6666666.754255.peg.2985	Antiholin-like protein LrgA	
6666666.754255.peg.2986	LrgA-associated membrane protein LrgB	
6666666.754255.peg.2987	DegV family protein	
6666666.754255.peg.2988	hypothetical protein	
6666666.754255.peg.2989	Putative membrane protease YugP	
6666666.754255.peg.2990	hypothetical protein	
6666666.754255.peg.2991	Dehydrosqualene desaturase (EC 1.3.8.2)	KEGG_ENZYME:1.3.8.2
6666666.754255.peg.2992	Dehydrosqualene synthase (EC 2.5.1.96)	KEGG_ENZYME:2.5.1.96
6666666.754255.peg.2993	Hydrolase%2C alpha/beta fold family	
6666666.754255.peg.2994	Glycerate kinase (EC 2.7.1.31)	KEGG_ENZYME:2.7.1.31
6666666.754255.peg.2995	similar to glutathione reductase	
6666666.754255.peg.2996	FIG00752856: hypothetical protein	
6666666.754255.peg.2997	Transposase%2C IS4 family	
6666666.754255.peg.2998	Mobile element protein	
6666666.754255.peg.2999	Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)	KEGG_ENZYME:4.3.2.2,KEGG_ENZYME:4.3.2.2
6666666.754255.peg.3000	Adenylosuccinate synthetase (EC 6.3.4.4)	KEGG_ENZYME:6.3.4.4
6666666.754255.peg.3001	GMP reductase (EC 1.7.1.7)	KEGG_ENZYME:1.7.1.7
6666666.754255.peg.3002	protein tyrosine/serine phosphatase	
6666666.754255.peg.3003	Cardiolipin synthase%2C bacterial type ClsA	
6666666.754255.peg.3004	FIG00743177: hypothetical protein	
6666666.754255.peg.3005	Transcriptional regulator	
6666666.754255.peg.3006	Phage infection protein	
6666666.754255.peg.3007	hypothetical protein	
6666666.754255.peg.3008	hypothetical protein	
6666666.754255.peg.3009	Uncharacterized amino acid permease%2C GabP family	
6666666.754255.peg.3010	Kup system potassium uptake protein	
6666666.754255.peg.3011	cation efflux protein	
6666666.754255.peg.3012	UPF0118 membrane protein YdbI	
6666666.754255.peg.3013	FIG00753369: hypothetical protein	
6666666.754255.peg.3014	Methionine synthase II (cobalamin-independent)	
6666666.754255.peg.3015	Ethidium bromide-methyl viologen resistance protein EmrE	
6666666.754255.peg.3016	Quaternary ammonium compound-resistance protein SugE	
6666666.754255.peg.3017	FIG01964566: Predicted membrane protein%2C hemolysin III homolog	
6666666.754255.peg.3018	Transcriptional regulator%2C ArsR family	
6666666.754255.peg.3019	Cobalt/zinc/cadmium resistance protein CzcD	
6666666.754255.peg.3020	hypothetical protein	
6666666.754255.peg.3021	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	KEGG_ENZYME:3.2.2.20
6666666.754255.peg.3022	Dihydropteroate synthase (EC 2.5.1.15)	KEGG_ENZYME:2.5.1.15
6666666.754255.peg.3023	Nucleoside 5-triphosphatase RdgB (dHAPTP%2C dITP%2C XTP-specific) (EC 3.6.1.66)	KEGG_ENZYME:3.6.1.66
6666666.754255.peg.3024	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)	KEGG_ENZYME:6.3.2.12,KEGG_ENZYME:6.3.2.17
6666666.754255.peg.3025	GTP cyclohydrolase I (EC 3.5.4.16) type 1	KEGG_ENZYME:3.5.4.16
6666666.754255.peg.3026	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	KEGG_ENZYME:2.7.6.3
6666666.754255.peg.3027	Dihydroneopterin aldolase (EC 4.1.2.25)	KEGG_ENZYME:4.1.2.25
6666666.754255.peg.3028	hypothetical protein	
6666666.754255.peg.3029	Predicted membrane ancor connecting MutS2 with cell-division Z-ring	
6666666.754255.peg.3030	Zinc ABC transporter%2C substrate-binding protein ZnuA	
6666666.754255.peg.3031	Uncharacterized MFS-type transporter	
6666666.754255.peg.3032	hypothetical protein	
6666666.754255.peg.3033	FIG00748587: hypothetical protein	
6666666.754255.peg.3034	hypothetical protein	
6666666.754255.peg.3035	Glycopeptide antibiotics resistance protein	
6666666.754255.peg.3036	Transposase%2C IS4 family	
6666666.754255.peg.3037	Transposase%2C IS4 family	
6666666.754255.peg.3038	Transposase%2C IS4 family	
6666666.754255.peg.3039	Mobile element protein	
6666666.754255.peg.3040	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	
6666666.754255.peg.3041	Pyruvate formate-lyase (EC 2.3.1.54)	KEGG_ENZYME:2.3.1.54
6666666.754255.peg.3042	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	KEGG_ENZYME:1.97.1.4
6666666.754255.peg.3043	PaaD-like protein (DUF59) involved in Fe-S cluster assembly	
6666666.754255.peg.3044	Putative oxidoreductase SCO7655	
6666666.754255.peg.3045	HIT family protein	
6666666.754255.peg.3046	FIG00747257: hypothetical protein	
6666666.754255.peg.3047	hypothetical protein	
6666666.754255.peg.3048	FIG00744455: hypothetical protein	
6666666.754255.peg.3049	FIG00752350: hypothetical protein	
6666666.754255.peg.3050	Betaine/carnitine/choline transporter (BCCT) family	
6666666.754255.peg.3051	Lead%2C cadmium%2C zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)%3B Copper-translocating P-type ATPase (EC 3.6.3.4)	KEGG_ENZYME:3.6.3.3,KEGG_ENZYME:3.6.3.5,KEGG_ENZYME:3.6.3.4
6666666.754255.peg.3052	hypothetical protein	
6666666.754255.peg.3053	FIG00750730: hypothetical protein	
6666666.754255.peg.3054	FIG00746607: hypothetical protein	
6666666.754255.peg.3055	Adenine deaminase (EC 3.5.4.2)	KEGG_ENZYME:3.5.4.2
6666666.754255.peg.3056	Mobile element protein	
6666666.754255.peg.3057	Mobile element protein	
6666666.754255.peg.3058	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	KEGG_ENZYME:2.6.1.16
6666666.754255.peg.3059	Transposase%2C IS4 family	
6666666.754255.peg.3060	Transposase%2C IS4 family	
6666666.754255.peg.3061	FIG00747402: hypothetical protein	
6666666.754255.peg.3062	Predicted tyrosine transporter%2C NhaC family	
6666666.754255.peg.3063	D-serine/D-alanine/glycine transporter	
6666666.754255.peg.3064	FIG00742549: hypothetical protein	
6666666.754255.peg.3065	Low temperature requirement C protein	
6666666.754255.peg.3066	Complete genome	
6666666.754255.peg.3067	Predicted transcriptional regulators	
6666666.754255.peg.3068	negative regulator of proteolysis	
6666666.754255.peg.3069	DUF488 family protein SAV0238	
6666666.754255.peg.3070	hypothetical protein	
6666666.754255.peg.3071	A/G-specific adenine glycosylase (EC 3.2.2.-)	KEGG_ENZYME:3.2.2.-
6666666.754255.peg.3072	hypothetical protein	
6666666.754255.peg.3073	FIG00754604: hypothetical protein	
6666666.754255.peg.3074	small heat shock protein	
